Disclaimer: List of documentation retained by Tesla corresponding to your Tesla Account.
""
""
DOCUMENTS,DATE (UTC),TYPE
Order Agreement,June 28 2019,Order Agreement
Order Agreement,October 19 2020,Order Agreement
Driver'S License,October 22 2020,Owner Driver License Front
Driver'S License - Back,October 22 2020,Owner Driver License Back
